Sanskrit,English
न,not
कर,"doer, maker"
एक,one
आदि,beginning
च,and
समय,"time, agreement"
त्वम्,you (singular)
कारण,"cause, reason"
पुत्र,son
हि,indeed
इदम्,this
अस्ति,to be
मनुष्य,"human, man"
समान,"equal, alike"
तद्,that
सर्व,"all, every"
जा,"offspring, descendants"
यदि,if
राजन्,king
त्याग,"renunciation, abandonment"
देवता,"deity, god"
युद्ध,"war, battle"
श्रेष्ठ,"best, most excellent"
धर्म,"duty, righteousness, religion"
ब्राह्मण,Brahmin
अहम्,I
पुरुष,"man, person, spirit"
सदा,always
श्लोक,"sound, verse, stanza"
शरीर,body
स्वरूप,"true form, own nature"
अध्याय,"chapter, lesson"
रूप,"form, appearance"
उत्तम,greatest
गुण,quality
रथ,chariot
बुद्धि,intellect
इच्छा,desire
भाव,"becoming, being"
कार्य,"work, task"
वीर,"hero, brave"
प्रकृति,"nature, primal matter"
यज्ञ,"Vedic sacrifice, ritual"
स,"he, that"
महर्षि,great sage
यद्,"which, who, whatever"
केवल,"only, alone"
अनुसार,following
दिव्य,"divine, celestial"
धारण,"holding, bearing, wearing"
ज्ञान,knowledge
यत्,"who, which, whichever"
शक्ति,"power, ability, strength"
जगत्,"world, universe"
लोक,"world, realm, people"
अन्य,"other, another"
भवति,"is, becomes"
स्थित,"situated, standing, existing"
क,"who, what"
दिन,day
दान,"giving, gift, charity"
प्रिय,"dear, beloved"
विषय,"subject, topic, matter"
बाण,arrow
शत्रु,enemy
अनेक,"many, numerous"
धन,"wealth, money"
मार,"killing, death"
अधिक,"more, excessive"
इति,"thus, so"
वस्तु,"object, thing"
रक्षा,"protection, care"
अर्थ,"meaning, purpose, wealth"
सेना,army
भयंकर,"terrifying, dreadful"
अग्नि,fire
विशाल,"wide, expansive, large"
पृथ्वी,earth
प्राण,"breath, life force"
दृष्टि,"sight, vision"
राज,king
बल,"strength, power"
सेवा,service
सूर्य,sun
नित्य,eternal
वृक्ष,tree
भिन्न,"different, split"
भक्त,devotee
वाचक,speaker
शब्द,"word, sound"
जल,water
सुन्दर,beautiful
आज,today
मम,"my, mine"
युक्त,"appropriate, connected"
सह,"with, together"
शास्त्र,"treatise, scripture"
अस्त्र,weapon
भय,fear
आकाश,"sky, space"
शीघ्र,"quick, fast"
क्षत्रिय,member of the warrior class
सम,"equal, same"
आज्ञा,"command, order"
नष्ट,"lost, destroyed"
सा,"she, that (feminine)"
शोभा,"beauty, splendor"
द्वेष,"hatred, enmity"
सुख,"happiness, comfort"
पूर्ण,"full, complete"
वेद,"knowledge, scriptures"
वन,forest
आश्रम,"hermitage, stage of life"
पद,"foot, step, position"
स्थान,place
यथा,"as, like"
देव,god
मान,"honor, pride"
पूजा,worship
दुःख,"sorrow, suffering"
भेद,"difference, distinction"
विचार,"thought, reflection"
वचन,"word, speech"
भोग,"enjoyment, pleasure"
साधन,"means, instrument"
नाश,destruction
तत्र,there
स्त्री,woman
सत्य,truth
अवस्था,"condition, state"
अंश,"part, portion"
राज्य,kingdom
श्रद्धा,faith
ऋषि,sage
उपदेश,"instruction, advice"
वर,"boon, best, bridegroom"
दर्शन,"philosophy, view, sight"
क्रिया,action
राक्षस,demon
कन्या,"maiden, girl"
तु,"but, and"
करोति,"does, makes"
प्रति,"towards, against"
पवित्र,"pure, holy"
तप,"heat, austerity, penance"
काम,"desire, love"
ब्रह्म,"Brahma, sacred, Absolute"
स्मरण,"remembrance, memory"
कर्तव्य,"dutiful, obligatory"
कौरव,descendant of Kuru
कर्ण,"ear, Karna"
प्रसन्न,"pleased, clear, serene"
काल,time
पितृ,"father, ancestor"
हृदय,heart
सिद्ध,"accomplished, perfected"
तत्पश्चात्,"afterwards, later"
उत्तर,"north, higher, answer"
शस्त्र,weapon
राग,"attachment, passion, color"
अभाव,"non-existence, absence"
उत्पत्ति,"origin, creation"
पाप,"sin, evil"
एष,"this, these"
अत्र,here
वायु,"wind, air"
मुख,"face, mouth"
सभा,"assembly, hall"
शोक,"grief, sorrow"
गति,"movement, speed, destination"
पर्वत,mountain
बहु,many
एव,indeed
पूर्व,"eastern, former"
क्रोध,anger
जिन,conqueror
वर्ष,"year, rain"
पर,"other, beyond"
तस्य,"his, her, its"
भवन्ति,(they) are
सैनिक,soldier
नेत्र,eye
आश्रय,"shelter, refuge"
अश्व,horse
प्रवेश,"entry, entrance"
यत्र,where
वर्ण,"color, class"
स्थिति,"position, condition"
विद्या,"knowledge, learning"
गन्धर्व,celestial musician
नामक,named
विजय,victory
आरम्भ,beginning
ध्यान,meditation
हन्ति,kills
अनन्त,"endless, infinite"
मूल,root
माता,mother
मार्ग,"path, way"
सिंह,lion
व्रत,vow
समुद्र,ocean
पशु,animal
योग्य,"suitable, competent"
भाग,"part, share"
वस्त्र,"cloth, garment"
पदार्थ,"element, substance"
नगर,city
कथा,story
संख्या,number
सर्वत्र,everywhere
रहस्य,secret
सिद्धि,accomplishment
पद्,"word, step"
पति,"husband, lord"
निवास,residence
वैश्य,member of merchant class
शुद्ध,pure
भूत,"being, ghost"
राजन,king
मया,by me
सत्,"true, existent"
कुरु,"do, make"
मधुर,sweet
स्नान,bath
भक्ति,devotion
संसार,"world, cycle of existence"
भव,"being, existence"
मृत्यु,death
देश,"country, region"
किम्,what
तदा,"then, at that time"
प्रकाश,"light, illumination"
हेतु,"cause, reason"
प्रश्न,question
मुक्त,"liberated, freed"
उपाय,"means, strategy"
तीर्थ,sacred pilgrimage place
दिशा,direction
ग्रहण,"eclipse, seizing"
अभिप्राय,"intention, meaning"
प्रतिज्ञा,"promise, vow"
द्वार,door
पितामह,grandfather
अपि,also
संशय,doubt
अधिकार,authority
चिन्तन,contemplation
वा,or
कष्ट,difficult
सहित,together with
अन्तःकरण,conscience
योग,"union, yoga"
वृद्ध,old
जीव,life
विवाह,marriage
स्थिर,steady
पत्नी,wife
वाणी,speech
निरन्तर,continuous
कठिन,difficult
तव,your
गच्छ,go
विधि,"method, rule"
हर्ष,joy
जीवन,life
अज्ञान,ignorance
नर,man
बालक,boy
धारा,stream
प्रदेश,region
वश,under control
द्वितीय,second
दानव,demon
कुमार,"boy, prince"
उत्साह,enthusiasm
विश्वास,"trust, belief"
नदी,river
एकत्र,"together, in one place"
अयम्,this (masculine)
लोभ,greed
दत्त,given
कथन,"saying, speaking"
जीवित,life
ईश्वर,"God, deity"
शाप,curse
अन्त,end
पुण्य,"virtue, merit"
विनाश,destruction
दोष,"fault, defect"
यात्रा,"journey, travel"
शल्य,"thorn, discomfort"
हित,beneficial
कृत्वा,having done
वेग,"speed, velocity"
मनोहर,"charming, captivating"
गर्भ,womb
देवी,goddess
शरण,"refuge, shelter"
तात,father
आनन्द,"bliss, joy"
रात्रि,night
नमस्कार,"greeting, salutation"
पोषण,nourishment
ददाति,gives
स्व,"self, own"
मनस्,mind
गम्भीर,"deep, profound"
संयोग,"union, conjunction"
शिक्षा,"education, instruction"
गुरु,"teacher, spiritual guide"
अहंकार,"ego, self-conceit"
रमणीय,"pleasing, delightful"
भजन,"devotion, service, worship"
वसु,"wealth, good, bright"
चित्त,"mind, consciousness"
विकार,"change, alteration, emotion"
अनुभव,experience
जीत,oppressed
भर,"burden, load"
महत्,"great, mighty"
प्रजा,"subjects, offspring, people"
हर,to take away
गदा,"club, mace"
आत्मन्,"self, soul, spirit"
रत्न,"gem, jewel"
भूमि,"earth, ground, land"
नृप,"king, ruler"
कुशल,"skillful, clever"
मेघ,cloud
सुन्दरी,beautiful woman
द्वि,two
भिक्षा,"alms, begging"
उपवास,fasting
भोजन,"food, meal"
व्यवहार,"conduct, behavior"
स्पर्श,touch
दैत्य,demon
सृष्टि,creation
ब्रह्मविद्या,knowledge of ultimate reality
क्षेत्र,"field, domain"
भ्रातृ,brother
श्रवण,"hearing, listening"
प्रधान,"principle, main"
वध,"killing, slaying"
विश्व,"world, universe"
मन्त्र,sacred utterance
कला,"art, skill"
नाग,"snake, serpent"
सर्प,snake
शिखर,"peak, summit"
बाल,"child, young"
खा,to eat
पक्ष,"side, wing"
शेष,"remaining, rest"
वाच्,"speech, voice"
राजर्षि,royal sage
